constituency,ward,polling_station
BURA,MADOGO,MALKA MANSA PRIMARY SCHOOL
BURA,MADOGO,MULANJO PRIMARY SCHOOL
BURA,MADOGO,KONORAMADHA PRIMARY SCHOOL
BURA,MADOGO,LAG BADANA NURSERY SCHOOL
BURA,MADOGO,MORORO PRIMARY SCHOOL
BURA,MADOGO,ADELE PRIMARY SCHOOL
BURA,MADOGO,BARA NURSERY SCHOOL
BURA,MADOGO,BUTUMA NURSERY
BURA,MADOGO,MADERTE CENTRE
BURA,MADOGO,BOJI NURSERY
BURA,MADOGO,BARAKA VILLAGE
BURA,MADOGO,MADOGO SECONDARI SCHOOL
GALOLE,MIKINDUNI,BONDENI PRIMARY SCHOOL
GALOLE,MIKINDUNI,LENDA PRIMARY SCHOOL
GALOLE,MIKINDUNI,HANDAMPIA PRIMARY SCHOOL
GALOLE,MIKINDUNI,CHANANI PRIMARY SCHOOL
GALOLE,MIKINDUNI,MIKINDUNI PRIMARY SCHOOL
GALOLE,MIKINDUNI,KONE PRIMARY SCHOOL
GALOLE,MIKINDUNI,KALKACHA PRIMARY SCHOOL
GALOLE,MIKINDUNI,CHAMARI WELLS MOBILE CENTRE
GALOLE,MIKINDUNI,INGILE MOBILE CENTRE
GALOLE,MIKINDUNI,KALKALCHA ECD
GALOLE,MIKINDUNI,HOLA POLYTECHNIC
BURA,SALA,MARAMTU PRIMARY SCHOOL
BURA,SALA,ABAKIK VILLAGE
BURA,SALA,MORORO MADRASA
BURA,SALA,ANOLE PRIMARY SCHOOL
BURA,SALA,ZIWANI NURSERY
BURA,SALA,SALA PRIMARY SCHOOL
BURA,SALA,HAMARESA VILLAGE
BURA,SALA,SOMBO PRIMARY SCHOOL
BURA,SALA,GUBATU CENTRE
BURA,SALA,BAKUYU NURSERY
BURA,SALA,HATATA PRIMARY SCHOOL
BURA,SALA,TALEO NURSERY SCHOOL
BURA,SALA,KAABSO VILLAGE
BURA,SALA,ZIWANI VANGO PRIMARY
BURA,SALA,DIID VILLAGE DAM
GALOLE,WAYU,DAYATE NURSERY SCHOOL
GALOLE,WAYU,GURURI PRIMARY SCHOOL
GALOLE,WAYU,MALKA DENDE NURSERY SCHOOL
GALOLE,WAYU,DABA PRIMARY SCHOOL
GALOLE,WAYU,GOFISA VILLAGE CENTRE
GALOLE,WAYU,KITOLE DADO MOBILE CENTRE
GALOLE,WAYU,KOMOLI MOBILE CENTRE
GALOLE,WAYU,WAYU BORU PRIMARY SCHOOL
GALOLE,WAYU,WAYU PRIMARY SCHOOL
GALOLE,WAYU,KOTICHA PRIMARY SCHOOL
GALOLE,WAYU,BAKAYE MOBILE CENTRE
GALOLE,WAYU,MOTI BOKA CENTRE (MOBILE)
GALOLE,WAYU,ONGOLA CENTRE (MOBILE)
GALOLE,WAYU,TITILA PRIMARY SCHOOL
GALOLE,WAYU,KURUNDU CENTRE (MOBILE)
GALOLE,WAYU,CHIFIRI PRIMARY SCHOOL
GALOLE,WAYU,HAKOKA PRIMARY SCHOOL
GALOLE,WAYU,KESI NURSERY SCHOOL (MOBILE)
GALOLE,WAYU,LAKOLE NURSERY SCHOOL
GALOLE,WAYU,MARO WELLS CENTRE (MOBILE)
GALOLE,WAYU,ABOYE NURSERY SCHOOL (MOBILE)
GALOLE,WAYU,WALDENA PRIMARY SCHOOL
GALOLE,WAYU,SAWARE NURSERY SCHOOL (MOBILE)
GALOLE,WAYU,ANABU NURSERY SCHOOL (MOBILE)
GALOLE,WAYU,KONE KALITI NURSERY SCHOOL (MOBILE)
GALOLE,WAYU,BULTO MULITU VILLAGE
GALOLE,WAYU,EL WACHU NURSERY SCHOOL
GALOLE,WAYU,MATA GALA ECD
